"Name","Url","DataSource","ExtractedDate","Firm_","Phone","Fax","Address","Contact","Position","Mobile_No_","PostalAddress","Email","Maintenance_and_General_Works_Group","PrequalificationCategories","Letter"
"Transafe Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/76ec81cc3ff0faaaca257b810081acdf?OpenDocument","Cached","2025-09-12 10:47:09","Transafe Pty Ltd","1300 796 681",,"Unit 11/ 146 Power Street , HAWTHORN, VIC 3122","Mr Darren Vella","Director","0423 809 760","P O Box 6049, Hawthorn West, VIC 3122&nbsp","darren@transafe.com.au",,"ROAD","T"
"Transport for NSW","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/92307aae79e8dc92ca258699007d639c?OpenDocument","Cached","2025-09-12 10:47:09","Transport for NSW","02 8202 2200","02 8202 2209","18 Lee Street, CHIPPENDALE NSW 2008","Mr Nicholas McMullen","Bridge Works Manager South West","0476839809","PO Box 484, WAGGA WAGGA NSW 2650&nbsp","Nicholas.r.mcmullen@transport.nsw.gov.au",,,"T"
"Transport &amp; Traffic Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cb8ed0fe23ba10c7ca258108007f5748?OpenDocument","Cached","2025-09-12 10:47:10","Transport & Traffic Solutions Pty Ltd","(03) 9862 3479",,"3 Prentice Street, BRUNSWICK VIC 3056","Mr Michael Marsicovetere","Director","0437 682 170","""As Above"", &nbsp","michael@tatsolutions.com.au",,"PAM, PRN, PRS, ROAD, TAR, TOS, TPF, TSD, TTF","T"
"Tree Limits Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/425b1f530e96dc28ca257b8a0022a5c5?OpenDocument","Cached","2025-09-12 10:47:10","Tree Limits Pty Ltd","(03) 5152 7733",,"15 Collins Street, BAIRNSDALE, VIC 3875","Mr Troy Anderson","Director","0412 525 527","P O Box 170, BAIRNSDALE, VIC 3875&nbsp","treelimits@hotmail.com",,,"T"
"Tree Synergy Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a8e143267da2a525ca25842a001dc13b?OpenDocument","Cached","2025-09-12 10:47:11","Tree Synergy Pty Ltd","03 5240 0570",,"1/117 Myers Street, GEELONG VIC 3220","Mr Matthew Deretic","Director","0488 176 006","""As Above"", &nbsp","mderetic@treesynergy.com.au","Maintenance: Maintenance Roadsides (M2-RW), Maintenance Works-Minor (M1); General Works: General Works-Minor (G1), Landscaping (G2-LS)","LS, M1, M2-RW, RW, WORKS-MINOR","T"
"Tree Watch**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/935836f566440e4dca2575010025c20e?OpenDocument","Cached","2025-09-12 10:47:12","LTW Pty Ltd","(03) 5289 5330","(03) 5289 5331","1 Beaurepaire Drive,, LORNE VIC 3232","Mr Stephen Bayley","Administration Manager","0419 102 925","PO Box 294, LORNE VIC 3232&nbsp","steve@treewatch.com.au","General Works: Landscaping (G2-LS)","LS","T"
"Tri-State Traffic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a97a1efa4c42eb66ca2579e2001d6ba7?OpenDocument","Cached","2025-09-12 10:47:12","Tri-State Traffic Pty Ltd","(03) 5023 4833","(03) 5023 3123","16 Logan Avenue, Mildura, VIC 3500","Ms Christinre Curry","OH&S Manager","0429 978 197","""As Above"", &nbsp","traffic07@bigpond.com",,,"T"
"Tridec Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/150eee09c76bc459ca25773800281792?OpenDocument","Cached","2025-09-12 10:47:13","Tridec Services Pty Ltd","(03) 8585 9800",,"Level 1, 336 Springvale Road, SPRINGVALE VIC 3171","Mr Glenn Matthews","Director, Design Engneer, Project Manager","0417 388 129","""As Above"", &nbsp","glennmatthews@tridec.com.au",,"TLD","T"
"TTM Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8ec0724d923ee492ca257ca60002a75e?OpenDocument","Cached","2025-09-12 10:47:14","TTM Consulting Pty Ltd","(03) 9419 0911",,"Suite 9, 70-80 Wellington St , Collingwood, VIC 3066","Mr Simon Pender","Technician","0435 152 377","""As Above"", &nbsp","spender@ttmgroup.com.au",,"CCC, COS, CTM, CTT, E-NMD, NMD, TIME","T"
"TTM Consulting (VIC) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c0747f5f31b48ad2ca256d0a00076454?OpenDocument","Cached","2025-09-12 10:47:14","TTM Consulting (VIC) Pty Ltd","9419 0911","9415 9456","88 Langridge Street, COLLINGWOOD VIC 3066","Mr Damien Hancox","Director","0409 551 505","""As Above""&nbsp","ttmvic@ttmgroup.com.au",,"ROAD, TOS","T"
"TTW (VIC) PTY LTD","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e30aa3389e6cf6dfca25891900086f3d?OpenDocument","Cached","2025-09-12 10:47:15","TTW (VIC) PTY LTD","03 9602 1433","03 9602 4040","Level 13, 379 Collins Street, MELBOURNE VIC 3000","Mrs Joanne Ford","Office Manager",,"""As Above"", &nbsp","joanne.ford@ttw.com.au",,"H-SIMPLE, SH, WSRD","T"
"Turnbull Engineering Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/fcb96462320c3cf6ca258931007a603d?OpenDocument","Cached","2025-09-12 10:47:15","Turnbull Engineering Pty Ltd","02 8011 4800",,"Level 27, 400 George Street, SYDNEY NSW 2000","Mr Guy Pinzone","Director of Growth","0426 255 886","""As Above"", &nbsp","tenders@turnbullengineering.com.au",,"CH, H-COMPLEX, H-SIMPLE, ROAD, RR, SH, SS, STRUCTURES-SIMPLE","T"
"Tyco Safety Products**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f8f06c90afb78b9aca256d5800020fd0?OpenDocument","Cached","2025-09-12 10:47:16","Tyco Projects (Australia) Pty Ltd","(03) 9538 7900","(03) 9872 4020","49 - 51 Rocco Drive, SCORESBY VIC 3179","Mr Mathew O?Sullivan","Services Branch Manager ? Traffic","0400 003 396","As above, &nbsp","mathew.osullivan@jci.com",,"OF, ON, ON-ROAD, ROAD, SCTV, SOED, SSLC, STCE, STS, STS1, STS2","T"
