"Name","Url","DataSource","ExtractedDate","Firm_","Address","Contact","Position","Mobile_No_","PostalAddress","Email","Maintenance_and_General_Works_Group","PrequalificationCategories","Letter"
"Statewide River &amp; Stream Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/6e52c07d487bd5e5ca25778b008271f7?OpenDocument","Fresh","2026-01-21 16:06:45","Statewide River & Stream Management Pty Ltd","293 South Gippsalnd Highway, Dandenong South Vic 3164","Mr Ken Fraser","Environmental Projects Manager","0418 526 444","PO Box 4226 , Dandenong South Vic 3164&nbsp","kfraser@statewiderivers.com",,"EAC, E-EAC, E-EMS, EMS","S"
"Stealth Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c1afa42b2562cf4dca2581e000191419?OpenDocument","Fresh","2026-01-21 16:06:46","Stealth Traffic Management Pty Ltd","43 Mowbray Street, MAWSON LAKES SA 5095","Ms Patsy Smith","Director","0430041045","""As Above"", &nbsp","operations@stealthtrafficmanagement.com.au",,,"S"
"Steller Traffic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5944ef789584a68bca258251001b94f7?OpenDocument","Fresh","2026-01-21 16:06:46","Steller Traffic Pty Ltd","840 Dandenong Road, CAUFIELD EAST VIC 3145","Mr Stavros Arberoris","Manager","0409 023 643","""As Above"", &nbsp","traffic@steller.com.au",,,"S"
"Sterling**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/261d6a2c662bb990ca2583af0013ee26?OpenDocument","Fresh","2026-01-21 16:06:47","Sterling Infrastructure Pty Ltd","105 Bakehouse Road, KENSINGTON VIC 3331","Mr Daniel McLeish","Asset Management Program Lead","0473 862 933","""As Above"", &nbsp","d.mcleish@sterling.com.au",,"BI2, SS, STRUCTURES-SIMPLE","S"
"Stowe Australia Pty Limited","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/00658b5287c28cacca2585c400038432?OpenDocument","Fresh","2026-01-21 16:06:48","Stowe Australia Pty Limited","115-119 Salmon Street, PORT MELBOURNE VIC 3207","Mr Jim Thompson","Operations Manager","0412 803 824","""As Above"", &nbsp","Jim.thompson@stoweaustralia.com.au",,"SCTV, STCE","S"
"Streamline Research Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5044dcca355c122eca257bbb002662a4?OpenDocument","Fresh","2026-01-21 16:06:48","Streamline Research Pty Ltd","83 Orchard Avenue, Eltham North, VIC 3095","Mr John McGuckin","Director / Principal Scientist",,"""As Above"", &nbsp","jmcguckin@streamresearch.net",,"AFF, E-AFF","S"
"Streetworks Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/91249bf70de5520bca256d0b001721bd?OpenDocument","Fresh","2026-01-21 16:06:49","Streetworks Pty Ltd","45 Commercial Drive, PAKENHAM VIC 3810","Mr John Ahern","Director",,"PO Box 98, PAKENHAM VIC 3810&nbsp","streetworks@streetworks.com.au",,"F050, R2","S"
"StrucSure Consulting**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/16a14099efbf758dca25874b00816234?OpenDocument","Fresh","2026-01-21 16:06:50","StrucSure Pty Ltd","2 Glen Orme Avenue, MCKINNON VIC 3204","Mr Paul Holles","Director","0439 036 442","""As Above"", &nbsp","paulh@strucsure.com.au",,"SS, STRUCTURES-SIMPLE","S"
"St. Quentin Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/bbca05ef5e36d12dca25772f00225d4a?OpenDocument","Fresh","2026-01-21 16:06:50","St. Quentin Pty Ltd","51 little Fyans Street, South GEELONG VIC 3220","Mr David Bolton","Engineering Manager","0476 904 494","PO Box 919, GEELONG VIC 3220&nbsp","david@stqc.com.au",,"ROAD, RR","S"
"Summerhill Maintenance Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/1a32242015061c8fca25754500220867?OpenDocument","Fresh","2026-01-21 16:06:51","Summerhill Maintenance Services Pty Ltd","37 -39 Access Way, CARRUM DOWNS VIC 3201","Mr Peder Haugen","Director","0407 754 917","""As Above"", &nbsp","peder@summerhillservices.com.au","General Works: Guardfence (G2-GF), Noise Wall (G2-NW), Sign Erection-Major (G2-SE)","ERECTION-MAJOR, GF, NW, SE, SIGN, WALL","S"
"Supalux Linemarking Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/94b63360bb962b55ca257d2a00055767?OpenDocument","Fresh","2026-01-21 16:06:51","Supalux Linemarking Pty Ltd","55 Assembly Drive, DANDENONG SOUTH VIC 3175","Mr John Mould","Contracts Manager","0407 023 178","PO BOX 158, DOVETON VIC 3177&nbsp","info@supalux.com.au","General Works: Linemarking (G2-LM)","LM","S"
"Super Gardens**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e69f251163830060ca257bb30003db1b?OpenDocument","Fresh","2026-01-21 16:06:52","Super Gardens Pty Ltd","27 Glenvale Crescent , MULGRAVE, VIC 3170","Mr Andrew Grasby","Director","0419 311 066","P O BOX 682, MULGRAVE, VIC 3170&nbsp","admin@supergardens.com.au","General Works: General Works-Minor (G1), Grass Cutting (G2-GC), Landscaping (G2-LS)","GC, LS, WORKS-MINOR","S"
"SuperSealing**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d708335b8951f307ca25759b0025f526?OpenDocument","Fresh","2026-01-21 16:06:53","SuperSealing Pty Ltd","18 Wadhurst Drive, BORONIA VIC 3155","Mr Ben Reiter","CEO","0402 041 908","PO BOX 2284 , BAYSWATER VIC 3153&nbsp","supersealing@supersealing.com.au","Maintenance: Maintenance Roadsides (M2-RW), Maintenance Works-Minor (M1); General Works: General Works-Minor (G1)","M1, M2-RW, RW, WORKS-MINOR","S"
"Sure Constructions (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d6fb7b6315ffbba1ca256f3200080f36?OpenDocument","Fresh","2026-01-21 16:06:53","Sure Constructions (Vic) Pty Ltd","9 Burke Street, WARRAGUL VIC 3820","Mr Mario Monacella","General Manager","0409 259 963","PO Box 350, WARRAGUL VIC 3820&nbsp","info@sureconstructions.com.au","Maintenance: Maintenance Bridges (M2-BW), Maintenance Pavements (M2-PW), Maintenance Roadsides (M2-RW)","BW, F015, M2-BW, M2-PW, M2-RW, PW, R2, RW","S"
"Swan Hill Rural City Council","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b27223788e47c3adca257b08000921db?OpenDocument","Fresh","2026-01-21 16:06:54","Swan Hill Rural City Council","45 Splatt Street, Swan Hill, VIC 3583","Mr Dallas Free","Works Manager","0419 754 181","P O Box 488, Swan Hill, VIC 3585&nbsp","council@swanhill.vic.gov.au",,,"S"
"SWEETT (AUSTRALIA) PTY LTD","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a26a24d86b1732ebca257c630017c375?OpenDocument","Fresh","2026-01-21 16:06:54","SWEETT (AUSTRALIA) PTY LTD","Level 2, 179 Queen Street, Melbourne, VIC 3000","Mr Ray Bongiomo","Director","0408 518 655","""As Above"", &nbsp","ray.bongiomo@sweettgroup.com",,"PSAD","S"
"Symal Infrastructure Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2ed9427292531f20ca2585ce000c121b?OpenDocument","Fresh","2026-01-21 16:06:55","Symal Infrastructure Pty Ltd","C/- Pitcher Partners, Level 13, 664 Collins Street, DOCKLANDS VIC 3008","Ms Sandra Costanzo","Company Secretary","1800314659","208-210 Hall Street, SPOTSWOOD VIC 3015 &nbsp","info@symal.com.au",,"B3, F150+, R4","S"
"Symon Bros Constructions VIC Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/25bf244dd6ef3f7fca256d0b001723ec?OpenDocument","Fresh","2026-01-21 16:06:56","Symon Bros Constructions VIC Pty Ltd","146-150 Mahoneys Road, THOMASTOWN VIC 3074","Mr Patrick Simonelli","Manager","0418 557 859","PO BOX 218, THOMASTOWN VIC 3074&nbsp","patrick@symonbros.com.au",,"B1, F100, R2","S"
"Synergy Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/231cd7329052f727ca2583fc007daff4?OpenDocument","Fresh","2026-01-21 16:06:56","Synergy Traffic Management Pty Ltd","13 Kialla Lakes Drive,, KIALLA VIC 3631","Mr Dylan King","Supervisor","0447 929 525","PO Box 506, SHEPPARTON VIC 3632&nbsp","admin@synergytrafficman.com.au",,,"S"
"Szabolics Construction Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/85590328efb7a538ca257eec001be815?OpenDocument","Fresh","2026-01-21 16:06:57","Szabolics Construction Pty Ltd","29 Barton Street, WEST WODONGA VIC 3690","Mr Walter Szabolics","Director","0418 698 859","29 Barton Street, WODONGA VIC 3690&nbsp","wally@szabolicsconstruction.com",,"F005, R1","S"
"S&amp;R Engineering and Construction PTY LTD","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b0b0c1ebdc3f54e3ca258779007d9bc1?OpenDocument","Fresh","2026-01-21 16:06:57","S&R Engineering and Construction PTY LTD","6 Nolan Street, EAST BENDIGO VIC 3551","Mr Shaun Finnigan","Director","0417 512 619","""As Above"", &nbsp","shaun.finnigan@sandr.com.au",,,"S"
"S.H.A.E Enterprises Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/b71e4ed40e74ada6ca25880e001352f8?OpenDocument","Fresh","2026-01-21 16:06:58","S.H.A.E Enterprises Pty Ltd","12 Neerim Crescent, MITCHELL PARK VIC 3355","Mr Nick Hayes",,"0427 805 960","PO Box 247, WENDOUREE VIC 3355&nbsp","nick@shaeenterprises.com.au","General Works: Landscaping (G2-LS)","LS","S"
