"Name","Url","DataSource","ExtractedDate","Firm_","Trading_Name_","Address","Postal_Address_","Mobile_No_","Email","Conditions_relating_to_prequalification_","Maintenance_and_General_Works__Group","Traffic_Management_Services__contract__Groups","Traffic_Control_Systems_Supply___Maintenance__a","PrequalificationCategories","Letter"
"Allan Bowman &amp; Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2a6331d2b515c6feca256d0a00073619?OpenDocument","Fresh","2025-09-12 10:38:56","Allan Bowman & Associates Pty Ltd&nbsp","&nbsp","191  B Middleborough Road Box Hill VIC   3128&nbsp","&quot;As Above&quot;&nbsp","&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","A"
"Allens Asphalt Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4bd074896ec0751aca25833e00775378?OpenDocument","Fresh","2025-09-12 10:38:57","Allens Asphalt Pty Ltd&nbsp","&nbsp","34 - 40 Potassium StreetNARANGBA QLD   4053&nbsp","PO Box 376KALLANGUR QLD 4053&nbsp","0417 782 934&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:, Maintenance Pavements (M2-PW), Maintenance Works-Minor (M1)",,,"Categories: F150, M1, M2-PW, R1, screen, script, scripts, Seal, Section, Service, size, Sprayed, src, static, Street, strong, style, supplierdetails, Surfacing","A"
"Allequip Constructions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/7619a91d65153823ca25800c001e9987?OpenDocument","Fresh","2025-09-12 10:38:57","Allequip Constructions Pty Ltd&nbsp","&nbsp","200 Forbes-Moranding RoadKILMORE VIC   3764&nbsp","PO BOX 395KILMORE VIC 3764&nbsp","0418 581 304&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: F002, R2, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","A"
"Allgood Contracting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c06816117d4f1451ca2583460024398b?OpenDocument","Fresh","2025-09-12 10:38:58","Allgood Contracting Pty Ltd&nbsp","&nbsp","2 Simpson WaySEABROOK  VIC   3028&nbsp","&quot;As Above&quot; &nbsp","0439 651 145&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, SEABROOK, Section, see, Service, Services, Simpson, size, src, static, strong, style, superseded, supplierdetails","A"
"Allied Schraven Group**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5b84fd62692d350bca25755500069327?OpenDocument","Fresh","2025-09-12 10:38:58","Allied Schraven Pty Ltd&nbsp","Allied Schraven Group&nbsp","4 Rushwood DriveCRAIGIEBURN  VIC   3064&nbsp","&quot;As Above&quot; &nbsp","0412 751 220&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: Schraven, screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","A"
"Allmark Linemarking Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d868f489963740f9ca256eb40025bd08?OpenDocument","Fresh","2025-09-12 10:38:59","Allmark Linemarking Services Pty Ltd&nbsp","&nbsp","7 Dempster StreetFERNTREE GULLY  VIC   3156&nbsp","PO Box 435   BCFERNTREE GULLY  VIC 3156&nbsp","0434 954 000&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:",,,"Categories: screen, script, scripts, Sebastian, Section, Service, Services, size, src, static, Street, strong, STW, style, supplierdetails, Surface","A"
"Allstate Linemarking Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/31dd3d9c7e8c0c31ca2584800017d6c3?OpenDocument","Fresh","2025-09-12 10:39:00","Allstate Linemarking Services Pty Ltd&nbsp","&nbsp","83 Christensen RoadSTAPYLTON QLD   4207&nbsp","PO Box 114OXENFORD  QLD 4210&nbsp","0448 152 292&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:",,,"Categories: screen, script, scripts, Section, Service, Services, size, src, STAPYLTON, static, strong, style, supplierdetails","A"
"Alpha Facilities Group Road and Rail **","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/97ab0339e663a107ca257f9d0000f50e?OpenDocument","Fresh","2025-09-12 10:39:00","Alpha Facilities Group Pty Ltd&nbsp","Alpha Facilities Group Road and Rail &nbsp","Suite 48, 21-23 Aristoc RoadGLEN WAVERLEY  VIC   3150&nbsp","P O Box 150EAST KEW  VIC 3102&nbsp","&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Senior, Service, Services, size, src, static, strong, style, Suite, superseded, supplierdetails","A"
"Alpha Indigenous Group Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/5d25774387c20d71ca25873b00811ebc?OpenDocument","Fresh","2025-09-12 10:39:01","Alpha Indigenous Group Pty Ltd&nbsp","&nbsp","8 International SquareTULLAMARINE  VIC   3043&nbsp","&quot;As Above&quot; &nbsp","&nbsp","&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, size, Square, src, strong, style, superseded, supplierdetails","A"
"Alpine Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/cdce1bc03a16d589ca258009000f3c48?OpenDocument","Fresh","2025-09-12 10:39:02","Alpine Civil Pty Ltd&nbsp","&nbsp","285 Dead Horse LaneMANSFIELD VIC   3722&nbsp","PO BOX 713MANSFIELD VIC 3723&nbsp","0401 079 950&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: F010, R1, screen, script, scripts, Section, Service, size, Sonja, src, static, strong, style, supplierdetails","A"
"Altus Traffic Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/c31419fb452bdbe4ca2573a000211ae2?OpenDocument","Fresh","2025-09-12 10:39:02","Altus Traffic Pty Ltd&nbsp","&nbsp","Unit 1/28-50 Cyanamid StreetLAVERTON NORTH  VIC   3026&nbsp","&quot;As Above&quot; &nbsp","0438 821 663&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, Street, strong, style, superseded, supplierdetails","A"
"Amey Consulting Australia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/4533ddef24a78534ca25811c007d2791?OpenDocument","Fresh","2025-09-12 10:39:03","Amey Consulting Australia Pty Ltd&nbsp","&nbsp","Ashurst Australia, Lvl 26, 181 William Street MELBOURNE  VIC   3000&nbsp","PO Box 424, Rural View, QUEENSLAND 4740&nbsp","+61 478 019 692&nbsp","[email&#160;protected]&nbsp","All road designs undertaken for, Rural Roads (RR) and Urban Roads (UR) to be verified by an independent pre qualified company with the provision of an accompanying verification report. The verification report to contain all identified review items in tabulated format as an Appendix.",,"Categories: Categories:",,"Categories: Safety, screen, script, scripts, Section, Service, Services, SH, Signing, Simple, Simulation, size, src, SS, static, Strategies, Street, strong, Structures, style, supplierdetails","A"
"AMG Systems Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2833aa8fa7a52c53ca256d5800020e86?OpenDocument","Fresh","2025-09-12 10:39:04","AMG Systems Pty Ltd&nbsp","&nbsp","106 Northern RoadHEIDELBERG WEST  VIC   3081&nbsp","PO  BOX  498ROSANNA  VIC 3084&nbsp","0458 801 166&nbsp","[email&#160;protected]&nbsp","SVDL level conditional to wireless studs installation and first job being inspected.",,"Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation, SVDL - Vehicle Detection Loops","Categories: screen, script, scripts, SCTV, Section, Service, Services, Signals, size, src, SSLC, static, STCE, Street, strong, STS, STS1, studs, style, supplierdetails, Supply, SVDL, Systems","A"
"AMH Civil Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/924e0a68ca9bf4bdca2586a100732990?OpenDocument","Fresh","2025-09-12 10:39:04","AMH Civil Pty Ltd&nbsp","&nbsp","2/11 Northpark DriveSOMERTON  VIC   3062&nbsp","&quot;As Above&quot; &nbsp","0409 126 516&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: F001, R1, screen, script, scripts, Section, Service, size, SOMERTON, src, static, strong, style, supplierdetails","A"
"Amtek Solutions Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/06c3d62847b25b00ca257ea6007eccda?OpenDocument","Fresh","2025-09-12 10:39:05","Amtek Solutions Pty Ltd&nbsp","&nbsp","50C Cherry LaneLAVERTON NORTH  VIC   3026&nbsp","P O Box 280CAUFIELD SOUTH  VIC 3162&nbsp","0417 287 108&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:","Categories: SCTV- Closed Circuit Television, SCTV - Communications, SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2, STS - Traffic Signals, STS1 - Traffic Signals Installation","Categories: screen, script, scripts, SCTV, Section, Service, Services, Signals, size, Solutions, SOUTH, src, SSLC, static, STCE, Street, strong, STS, STS1, style, supplierdetails, Supply, Systems","A"
"Anitech Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/18afecc7b84f3cd8ca2584880006bc24?OpenDocument","Fresh","2025-09-12 10:39:06","Anitech Pty Ltd&nbsp","&nbsp","Suite 118, 203-205 Blackburn RoadMOUNT WAVERLEY  VIC   3149&nbsp","&quot;As Above&quot; &nbsp","0424 871 972&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, size, Specialists, src, static, strong, style, Suite, supplierdetails, Systems","A"
"Anthony Moodie &amp; Associates**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/abeb1015b33cd584ca258c590083456b?OpenDocument","Fresh","2025-09-12 10:39:06","Moodie Engineering Pty Ltd&nbsp","Anthony Moodie & Associates&nbsp","79 Banksia SteetEaglemont Vic   3084&nbsp","&quot;As Above&quot; &nbsp","0402 154 878&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, SH, Simple, size, src, static, Steet, strong, style, supplierdetails","A"
"Anthony T. Lindsay Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a215b6561b043a54ca2582d70023532e?OpenDocument","Fresh","2025-09-12 10:39:07","Anthony T. Lindsay Pty Ltd&nbsp","&nbsp","54 Burness RoadBENALLA  VIC   3672&nbsp","P O Box 125BENALLA  VIC 3672&nbsp","0428 574 080&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:, Maintenance Pavements (M2-PW)",,,"Categories: M2-PW, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","A"
"Apex Earthworks Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/584641593f354d70ca2584aa0000b43d?OpenDocument","Fresh","2025-09-12 10:39:07","Apex Earthworks Pty Ltd&nbsp","&nbsp","907 Goulburn Valley HighwayCONGUPNA  VIC   3633&nbsp","PO Box 4066SHEPPARTON  VIC 3630&nbsp","0409 077 151&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: B1, F020, R3, screen, script, scripts, Section, Service, SHEPPARTON, size, src, static, strong, style, supplierdetails","A"
"Appia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/3adb991d44bbf37bca25833f001a13ba?OpenDocument","Fresh","2025-09-12 10:39:08","Appia Pty Ltd&nbsp","&nbsp","30 Pickering RoadMULGRAVE VIC   3170&nbsp","PO Box 443CHADSTONE CENTRE VIC 3148&nbsp","0434 229 004&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: F002, R2, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails, Systems","A"
"Applied Infrastructure Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2793feefbea4096eca2584310015449a?OpenDocument","Fresh","2025-09-12 10:39:09","Applied Infrastructure Pty Ltd&nbsp","&nbsp","46 Venture DriveSUNSHINE WEST   VIC   3020&nbsp","PO Box 642SUNSHINE   VIC 3020&nbsp","0450394786&nbsp","info@applied installations.com.au&nbsp","Prequalification STCE is conditional - The first three jobs completed will be inspected by the ITS Group for compliance with DoT specifications.",,"Categories: Categories:","Categories: SSLC - Street Lighting & Conduit Installation, STCE - Traffic Control Equipment, STCE 1 - Traffic Control Equipment 1, STCE 2 - Traffic Control Equipment 2","Categories: screen, script, scripts, Section, Service, Services, size, specifications, src, SSLC, STCE, Street, strong, style, SUNSHINE, supplierdetails, Supply, Systems","A"
"Aquatech Civil and Plumbing Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/dc641af0754a8c46ca25843c000346fc?OpenDocument","Fresh","2025-09-12 10:39:09","Aquatech Civil and Plumbing Pty Ltd&nbsp","&nbsp","11 Mitchell Drive,LEOPOLD  VIC   3224&nbsp","PO Box 268LEOPOLD  VIC 3224&nbsp","0428 456 678&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: F002, R1, screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","A"
"Aquenta Consulting Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/121d496fc031d7a3ca257e37000ddc02?OpenDocument","Fresh","2025-09-12 10:39:10","Aquenta Consulting Pty Ltd&nbsp","&nbsp","11/452 Flinders StreetMELBOURNE  VIC   3000&nbsp","&quot;As Above&quot; &nbsp","0458 214 584&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, size, Specialist, src, static, Street, strong, Studies, style, supplierdetails","A"
"Arcadis Australia Pacific Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/a1d347f33e9ce2b7ca257ec80021f434?OpenDocument","Fresh","2025-09-12 10:39:11","Arcadis Australia Pacific Pty Ltd&nbsp","&nbsp","Level 18, Queen & Collins Tower376-390 Collins StreetMELBOURNE VIC   3000&nbsp","&quot;As Above&quot; &nbsp","0437 648 435&nbsp","[email&#160;protected]&nbsp","Pavement Design and Pavement Rehabilitation & Maintenace categories - ONLY Jun So is prequalified at ND1, ND2, and ND3, RM1, RM2, RM3 and RM4 levels.George Birt is prequalified to undertake Pavement Design & Pavement Rehabilitation Design categories - ND1, ND2, RM1 and RM2 levels only.",,"Categories: Categories:",,"Categories: Safety, screen, script, scripts, Section, Sensitive, Service, Services, SH, Signal, Signing, Simple, Simulation, Singh, size, Sleiman, So, Specialist, Specialists, src, SS, ST, Statement, static, Strategic, Strategies, Strategy, Street, strong, Structures, Studies, Study, style, supplierdetails, Survey, surveys, Systems","A"
"Arenco (NSW) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/f1e68c5915281ef6ca2578a300297c06?OpenDocument","Fresh","2025-09-12 10:39:11","Arenco (NSW) Pty Ltd&nbsp","&nbsp","184 Adderley Street WestAUBURN  NSW   2124&nbsp","&quot;As Above&quot; &nbsp","0499 456 706&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: B4, F050, R3, Saba, screen, script, scripts, Section, Service, size, src, static, Street, strong, style, supplierdetails, Systems","A"
"Argon Services Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/95a6941cba797196ca25855f0025905e?OpenDocument","Fresh","2025-09-12 10:39:12","Argon Services Pty Ltd&nbsp","&nbsp","Factory 3, 51 Rushdale StreetKNOXFIELD  VIC   3180&nbsp","&quot;As Above&quot; &nbsp","0410 400 321&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:","Categories: SSLC - Street Lighting & Conduit Installation, STCE 1 - Traffic Control Equipment 1","Categories: screen, script, scripts, Section, Service, Services, size, src, SSLC, static, STCE, Street, strong, style, supplierdetails, Supply, Systems","A"
"Argot Consultants Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ab688b1e51d90a6cca2578260006c9f5?OpenDocument","Fresh","2025-09-12 10:39:12","Argot Consultants Pty Ltd&nbsp","&nbsp","35 Candlebark QuadrantROWVILLE   3178&nbsp","&quot;As Above&quot; &nbsp","0418 177 600&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, Service, Services, SH, Simple, size, src, static, strong, style, supplierdetails","A"
"Argus Construction Services (Vic) Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8f97077406ae7f59ca2586e3001c2ca4?OpenDocument","Fresh","2025-09-12 10:39:13","Argus Construction Services (Vic) Pty Ltd&nbsp","&nbsp","691 Burke RoadCAMBERWELL   VIC   3124&nbsp","&quot;As Above&quot; &nbsp","0448 800 650&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","A"
"Artcraft Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/59bfca19277073a1ca257856001e6db6?OpenDocument","Fresh","2025-09-12 10:39:14","Artcraft Pty Ltd&nbsp","&nbsp","79 -81 Wedgewood RoadHallam  VIC   3803&nbsp","PO Box 5001HALLAM  VIC 3803&nbsp","0432 247 035&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:",,,"Categories: screen, script, scripts, SE, Section, Service, Sign, size, src, static, strong, style, supplierdetails","A"
"Arup Australia Pty Limited","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/974b00bcc3787c24ca25841100814716?OpenDocument","Fresh","2025-09-12 10:39:14","Arup Australia Pty Limited&nbsp","&nbsp","Arup , Sky Park, 1 Melbourne Quarter, 699 Collins StreetDOCKLANDS  VIC   3008&nbsp","&quot;As Above&quot; &nbsp","+61 431 874 722&nbsp","[email&#160;protected]&nbsp","Approved DoT Proof Engineers - Road & Design: - Harry Watson - PE (NER) Jefferey Michael Booker - PE (NER)",,"Categories: Categories:",,"Categories: Safety, Scheme, Scott, screen, script, scripts, Section, see, Sensitive, Service, Services, SH, SI, Signal, Signing, Simple, Simulation, size, Sky, Social, Specialist, Specialists, src, SS, ST, Statement, static, Strategic, Strategies, Strategy, Street, strong, Structures, Studies, Study, style, superseded, supplierdetails, Survey, Surveys, surveys, Systems","A"
"ASK Traffic Plans and Consulting**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/086a8d3ce6c2652bca2587ca00044842?OpenDocument","Fresh","2025-09-12 10:39:15","ASK Traffic Management Plans Pty Ltd&nbsp","ASK Traffic Plans and Consulting&nbsp","27 Aspendale CrescentSHEPPARTON  VIC   3630&nbsp","&quot;As Above&quot; &nbsp","0418 994 104&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, SHEPPARTON, size, src, static, strong, style, superseded, supplierdetails","A"
"ASPECT Studios Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/81452e5f2e8f7e42ca257ceb008009e7?OpenDocument","Fresh","2025-09-12 10:39:16","ASPECT Studios Pty Ltd&nbsp","&nbsp","Level 1, 30-32 Easey StreetCollingwood VIC   3066&nbsp","&quot;As Above&quot; &nbsp","0409 590 221&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, size, Specialist, Specialists, src, static, Street, strong, Studies, Studios, style, supplierdetails","A"
"Asphalt FX Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/ee3a35a678456e30ca257dab0011a032?OpenDocument","Fresh","2025-09-12 10:39:16","Asphalt FX Pty Ltd&nbsp","&nbsp","3 Apoinga StreetDANDENONG SOUTH  VIC   3175&nbsp","&quot;As Above&quot; &nbsp","0408 218 538&nbsp","[email&#160;protected][email&#160;protected]&nbsp","G2-RSA conditional upon: 1. not tendering on VicRoads regionwide asphalt placement contracts. and 2. not tendering on asphalt placement contracts involving work on Highways or Freeways within VicRoads Metropolitan Regions.","Categories: Categories:, Categories:",,,"Categories: screen, script, scripts, Section, Service, size, SOUTH, src, static, Street, strong, style, supplierdetails, Surfacing","A"
"Asphalt Paving Services**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/518f063c2bfa8d64ca256fcb001f1779?OpenDocument","Fresh","2025-09-12 10:39:17","Hetekaro Pty Ltd&nbsp","Asphalt Paving Services&nbsp","15 Dalton StreetSOUTH GEELONG  VIC   3220&nbsp","PO  BOX  1225GEELONG  VIC 3220&nbsp","0418 521 582&nbsp","[email&#160;protected] &nbsp",,"Categories: Categories:, Categories:",,,"Categories: screen, script, scripts, Section, Service, Services, size, SOUTH, src, static, Street, strong, style, supplierdetails","A"
"Asphaltech**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/2f4d5317359087f3ca257328007c0515?OpenDocument","Fresh","2025-09-12 10:39:17","Asphaltech (Vic) Pty Ltd&nbsp","Asphaltech&nbsp","138 Freight DriveSOMERTON  VIC   3062&nbsp","&quot;As Above&quot; &nbsp","0428 283 817&nbsp","[email&#160;protected]&nbsp","Other Contacts: David Simmons - Regional Manager, 0434 443 959, [email&#160;protected]Costa Kremastas - Operations Project Manager -0429 692 955, [email&#160;protected]","Categories: Categories:, Categories:",,,"Categories: screen, script, scripts, Section, Service, Simmons, size, SOMERTON, src, static, strong, style, supplierdetails, Surfacing","A"
"AT&amp;L and Associates Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/898789c07dbd5856ca2588c4000da9ab?OpenDocument","Fresh","2025-09-12 10:39:18","AT&L and Associates Pty Ltd&nbsp","&nbsp","L7 153 Walker StreetNORTH SYDNEY  NSW   2060&nbsp","&quot;As Above&quot; &nbsp","0416 055 488&nbsp","[email&#160;protected]&nbsp","Road Design Rural Roads (RR) with condition: All safety barrier designs undertaken at Rural Roads (RR) level to be verified by an independent pre-qualified company with the provision of an accompanying verification report. The verification report is to contain all identified review items in tabulated format as an Appendix.WSRD (Modelling & Design) category Approved with two conditions:1. Projects are to be verified by an independent prequalified company (non-conditional) who has done recent WSRD work on DTP roads. This process requires an independent verification report that contains all identified items in a tabulated format as an Appendix. Note: The requirement for this condition can be reconsidered by DTP in the future by providing three examples of large scale WSRD (modelling and design) projects, suitable for state managed road projects, and the verification reports for evaluation.2: The Consultant cannot conduct landscape design or provide advice on the landscape component of maintenance plans",,,,"Categories: safety, scale, screen, script, scripts, Section, Sensitive, Service, SH, Simple, size, src, state, static, Street, strong, style, suitable, supplierdetails, SYDNEY","A"
"Aurecon Australasia Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e6d57020de16fd69ca256d5c0019a0db?OpenDocument","Fresh","2025-09-12 10:39:19","Aurecon Australasia Pty Ltd&nbsp","&nbsp","Aurecon Centre, Lvl 8, 850 Collins StreetDOCKLANDS VIC   3008&nbsp","PO BOX 23061DOCKLANDS  VIC 8012&nbsp","0432 168 511&nbsp","&nbsp",,,"Categories: Categories:",,"Categories: Safety, Scheme, screen, script, scripts, Section, Senior, Sensitive, Service, Services, SH, Signal, Signing, Simple, Simulation, size, Specialist, Specialists, src, Srivelan, SRSA, SS, ST, Statement, Steph, Strategic, Strategies, Strategy, Street, strong, Structures, Studies, Study, style, supplierdetails, Survey, surveys, Systems","A"
"Aus Group Alliance Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/9b2b4aa775554e15ca257bb700835881?OpenDocument","Fresh","2025-09-12 10:39:19","Aus Group Alliance Pty Ltd&nbsp","&nbsp","5 Fiveways BlvdKeysborough Vic   3173&nbsp","&quot;As Above&quot; &nbsp","0420 317 196&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:",,,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, supplierdetails","A"
"Ausland Landscaping**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/d7ca4cbcfc9ac2ceca25834d007cb07f?OpenDocument","Fresh","2025-09-12 10:39:20","Nickelodian Holdings Pty Ltd&nbsp","Ausland Landscaping&nbsp","17 Enterprise WaySUNSHINE WEST  VIC   3020&nbsp","&quot;As Above&quot; &nbsp","0418 538 821&nbsp","[email&#160;protected]&nbsp",,"Categories: Categories:, Categories:",,,"Categories: screen, script, scripts, Section, Service, size, src, static, strong, style, SUNSHINE, supplierdetails","A"
"Ausroads Traffic Management Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/e063aab55ec400f0ca258300000040a4?OpenDocument","Fresh","2025-09-12 10:39:21","Ausroads Traffic Management Pty Ltd&nbsp","&nbsp","45 Norbury RoadBEACONSFIELD UPPER  VIC   3808&nbsp","P O Box 8BEACONSFIELD UPPER  VIC 3808&nbsp","0419 144 464&nbsp","[email&#160;protected]&nbsp",,,"Categories: Categories:",,"Categories: screen, script, scripts, Section, see, Service, Services, size, src, static, strong, style, superseded, supplierdetails","A"
"Aussie Bridges Pty Ltd","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/18bbc5798f9be0b4ca258408001f8557?OpenDocument","Fresh","2025-09-12 10:39:21","Aussie Bridges Pty Ltd&nbsp","&nbsp","504 Hargreaves StreetBENDIGO  VIC   3550&nbsp","&quot;As Above&quot; &nbsp","&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, Simple, size, src, SS, static, Street, strong, Structures, style, supplierdetails","A"
"AusSpan**","https://webapps.vicroads.vic.gov.au/vrne/prequal.nsf/b5fea222939e6f00ca25783e000334ef/8dece8c0d9586e88ca257a16001c3faa?OpenDocument","Fresh","2025-09-12 10:39:22","Tas-Span Pty Ltd&nbsp","AusSpan&nbsp","27-28 Faulkner DriveLATROBE  TAS   7307&nbsp","PO Box 225Latrobe TAS 7303&nbsp","0429 964 011&nbsp","[email&#160;protected]&nbsp",,,,,"Categories: screen, script, scripts, Section, Service, Services, size, Span, Specialists, src, static, strong, style, supplierdetails","A"
